

         MODEL DEFAULTS
         --------------

Model Name:         PROJEC~1.MOD
Model Description:  BOWLING ALLEY
Output File:        UNTITLED.OUT
Output Plot Style:  NONE
Run Mode:           SINGLE_STEP
Trace Vars:         DAY,WDAY,AI,SI,B,SI,WAIT,CTIME,N,L[0],L[1],L[2],L[12],L[13],L[14],L[15],L[16],L[17],L[18],L[19],L[20],L[21],L[22],L[23
Random Number Seed: 12345
Initial Values:     0,26,0,0,0,0,0,0,0,0
Ending Condition:   STOP_ON_EVENT
Event:              END   (1 iterations)
Trace Events:       ALL EVENTS TRACED
Hide Edges:         



 Time        Event       Count       DAY         WDAY        AI          SI          B           SI          WAIT        CTIME       N           L[0]        L[1]        L[2]        L[12]       L[13]       L[14]       L[15]       L[16]       L[17]       L[18]       L[19]       L[20]       L[21]       L[22]       L[23]      
 808.113     ARRIVE      26          1           1           26          25          0           25          0.000       0.000       62          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 808.113     START       26          1           1           26          26          0           26          0.000       0.000       66          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 809.115     FINISH      5           1           1           26          26          0           26          0.000       0.000       66          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 809.928     FINISH      6           1           1           26          26          0           26          0.000       0.000       66          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 811.797     FINISH      7           1           1           26          26          0           26          0.000       0.000       66          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 812.403     ARRIVE      27          1           1           27          26          0           26          0.000       0.000       66          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 812.403     START       27          1           1           27          27          0           27          0.000       0.000       70          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 814.038     ARRIVE      28          1           1           28          27          0           27          0.000       0.000       70          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 814.038     START       28          1           1           28          28          0           28          0.000       0.000       71          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 814.384     FINISH      8           1           1           28          28          0           28          0.000       0.000       71          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 817.535     FINISH      9           1           1           28          28          0           28          0.000       0.000       71          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 818.814     ARRIVE      29          1           1           29          28          0           28          0.000       0.000       71          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 818.814     START       29          1           1           29          29          0           29          0.000       0.000       75          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
